time	V(a1)	V(vout)	V(vouts2)	V(n001)
0.000000000000000e+000	9.500000e-003	-3.552392e+000	-3.552427e+000	9.500000e-003
9.999999717180685e-010	9.500000e-003	-3.552392e+000	-3.552427e+000	9.500000e-003
1.999999943436137e-009	9.500000e-003	-3.552392e+000	-3.552427e+000	9.500000e-003
3.999999886872274e-009	9.500000e-003	-3.552392e+000	-3.552427e+000	9.500000e-003
7.999999773744548e-009	9.500000e-003	-3.552392e+000	-3.552427e+000	9.500000e-003
1.599999954748910e-008	9.500000e-003	-3.552392e+000	-3.552427e+000	9.500000e-003
3.199999909497819e-008	9.500000e-003	-3.552392e+000	-3.552427e+000	9.500000e-003
6.399999818995639e-008	9.500000e-003	-3.552392e+000	-3.552427e+000	9.500000e-003
1.279999963799128e-007	9.500000e-003	-3.552392e+000	-3.552427e+000	9.500000e-003
2.559999927598256e-007	9.500000e-003	-3.552392e+000	-3.552427e+000	9.500000e-003
5.119999855196511e-007	9.500000e-003	-3.552392e+000	-3.552427e+000	9.500000e-003
1.023999971039302e-006	9.500000e-003	-3.552392e+000	-3.552427e+000	9.500000e-003
2.047999942078604e-006	9.500001e-003	-3.552392e+000	-3.552427e+000	9.500000e-003
4.095999884157209e-006	9.500001e-003	-3.552392e+000	-3.552427e+000	9.500001e-003
1.638399953662884e-005	9.500002e-003	-3.552392e+000	-3.552425e+000	9.500001e-003
9.601023728464501e-003	9.500869e-003	-3.552392e+000	-3.551188e+000	9.500496e-003
1.918566345739237e-002	9.501737e-003	-3.552392e+000	-3.549943e+000	9.500992e-003
2.877030318632024e-002	9.502604e-003	-3.552392e+000	-3.548690e+000	9.501487e-003
3.835494291524812e-002	9.503471e-003	-3.552392e+000	-3.547429e+000	9.501982e-003
4.793958264417599e-002	9.504338e-003	-3.552392e+000	-3.546160e+000	9.502478e-003
5.752422237310386e-002	9.505205e-003	-3.552392e+000	-3.544883e+000	9.502973e-003
6.710886210203171e-002	9.506072e-003	-3.552392e+000	-3.543599e+000	9.503468e-003
1.342177242040634e-001	9.512124e-003	-3.552392e+000	-3.534416e+000	9.506936e-003
2.684354484081268e-001	9.524090e-003	-3.552391e+000	-3.515288e+000	9.513873e-003
4.909031148722111e-001	9.543179e-003	-3.552389e+000	-3.482343e+000	9.525369e-003
7.826028539011705e-001	9.565899e-003	-3.552385e+000	-3.438386e+000	9.540443e-003
9.187183325135223e-001	9.575321e-003	-3.552381e+000	-3.418107e+000	9.547477e-003
1.017340095787182e+000	9.581612e-003	-3.552377e+000	-3.403820e+000	9.552572e-003
1.090971697735768e+000	9.586001e-003	-3.552374e+000	-3.393494e+000	9.556376e-003
1.179469431557966e+000	9.590920e-003	-3.552370e+000	-3.381537e+000	9.560948e-003
1.273474153319044e+000	9.595714e-003	-3.552364e+000	-3.369421e+000	9.565805e-003
1.384077748649267e+000	9.600788e-003	-3.552356e+000	-3.356180e+000	9.571519e-003
1.563340848721857e+000	9.607749e-003	-3.552340e+000	-3.337355e+000	9.580779e-003
1.848655482755462e+000	9.615922e-003	-3.552309e+000	-3.312486e+000	9.595514e-003
2.030406360752767e+000	9.619618e-003	-3.552284e+000	-3.300063e+000	9.604899e-003
2.156613206798387e+000	9.621685e-003	-3.552264e+000	-3.293525e+000	9.611416e-003
2.325272651236703e+000	9.624042e-003	-3.552234e+000	-3.287237e+000	9.620123e-003
2.490208992240520e+000	9.626162e-003	-3.552201e+000	-3.283434e+000	9.628635e-003
2.785749464952700e+000	9.630429e-003	-3.552130e+000	-3.280744e+000	9.643885e-003
3.076229354116355e+000	9.636505e-003	-3.552052e+000	-3.280120e+000	9.658869e-003
3.253274292976733e+000	9.641676e-003	-3.551999e+000	-3.279753e+000	9.667999e-003
3.467222460334398e+000	9.649773e-003	-3.551929e+000	-3.278206e+000	9.679029e-003
3.704670870775694e+000	9.661371e-003	-3.551844e+000	-3.273343e+000	9.691265e-003
3.818231234490293e+000	9.667913e-003	-3.551801e+000	-3.269306e+000	9.697116e-003
4.002195765674483e+000	9.679834e-003	-3.551726e+000	-3.259922e+000	9.706591e-003
4.294475602574670e+000	9.701788e-003	-3.551600e+000	-3.239563e+000	9.721640e-003
4.469890202419474e+000	9.716391e-003	-3.551519e+000	-3.223939e+000	9.730667e-003
4.682270228907176e+000	9.735016e-003	-3.551414e+000	-3.200458e+000	9.741592e-003
4.919395364596375e+000	9.756362e-003	-3.551289e+000	-3.169255e+000	9.753785e-003
5.219329165887118e+000	9.782901e-003	-3.551113e+000	-3.124443e+000	9.769198e-003
5.687235604459984e+000	9.819684e-003	-3.550807e+000	-3.050941e+000	9.793222e-003
5.976373817364469e+000	9.837851e-003	-3.550594e+000	-3.007358e+000	9.808053e-003
6.250067526405262e+000	9.851237e-003	-3.550371e+000	-2.971148e+000	9.822083e-003
6.437308149002504e+000	9.858277e-003	-3.550205e+000	-2.950536e+000	9.831674e-003
6.734414211769919e+000	9.866338e-003	-3.549927e+000	-2.923266e+000	9.846883e-003
7.025491994678538e+000	9.871457e-003	-3.549632e+000	-2.904011e+000	9.861770e-003
7.158515623282059e+000	9.872967e-003	-3.549488e+000	-2.898730e+000	9.868569e-003
7.291539251885580e+000	9.874678e-003	-3.549339e+000	-2.894309e+000	9.875365e-003
7.424562880489101e+000	9.876589e-003	-3.549184e+000	-2.890749e+000	9.882159e-003
7.557586509092622e+000	9.878701e-003	-3.549024e+000	-2.888049e+000	9.888949e-003
7.690610137696142e+000	9.881014e-003	-3.548860e+000	-2.886210e+000	9.895736e-003
7.823633766299663e+000	9.883527e-003	-3.548690e+000	-2.885231e+000	9.902521e-003
7.956657394903184e+000	9.886241e-003	-3.548515e+000	-2.885113e+000	9.909302e-003
8.330185597246480e+000	9.898988e-003	-3.548002e+000	-2.880675e+000	9.928326e-003
8.562102170089295e+000	9.910246e-003	-3.547662e+000	-2.874327e+000	9.940125e-003
8.866882279352389e+000	9.929067e-003	-3.547190e+000	-2.858351e+000	9.955615e-003
9.165713074589828e+000	9.951471e-003	-3.546705e+000	-2.835264e+000	9.970784e-003
