time	V(a1)	V(vout)	V(vouts2)
0.000000000000000e+000	9.500000e-003	-3.509763e+000	-3.509798e+000
9.999999717180685e-010	9.500000e-003	-3.509763e+000	-3.509798e+000
1.999999943436137e-009	9.500000e-003	-3.509763e+000	-3.509798e+000
3.999999886872274e-009	9.500000e-003	-3.509763e+000	-3.509798e+000
7.999999773744548e-009	9.500000e-003	-3.509763e+000	-3.509798e+000
1.599999954748910e-008	9.500000e-003	-3.509763e+000	-3.509798e+000
3.199999909497819e-008	9.500000e-003	-3.509763e+000	-3.509798e+000
6.399999818995639e-008	9.500000e-003	-3.509763e+000	-3.509798e+000
1.279999963799128e-007	9.500000e-003	-3.509763e+000	-3.509798e+000
2.559999927598256e-007	9.500000e-003	-3.509763e+000	-3.509798e+000
5.119999855196511e-007	9.500000e-003	-3.509763e+000	-3.509798e+000
1.023999971039302e-006	9.500000e-003	-3.509763e+000	-3.509798e+000
2.047999942078604e-006	9.500000e-003	-3.509763e+000	-3.509798e+000
4.095999884157209e-006	9.500001e-003	-3.509763e+000	-3.509798e+000
1.638399953662884e-005	9.500001e-003	-3.509763e+000	-3.509797e+000
1.918800402875475e-002	9.500992e-003	-3.509763e+000	-3.508389e+000
3.835962405797287e-002	9.501983e-003	-3.509763e+000	-3.506980e+000
5.753124408719099e-002	9.502973e-003	-3.509763e+000	-3.505570e+000
7.670286411640910e-002	9.503964e-003	-3.509763e+000	-3.504160e+000
9.587448414562722e-002	9.504955e-003	-3.509763e+000	-3.502749e+000
1.150461041748453e-001	9.505946e-003	-3.509763e+000	-3.501337e+000
1.342177242040634e-001	9.506936e-003	-3.509763e+000	-3.499924e+000
2.684354484081268e-001	9.513873e-003	-3.509763e+000	-3.490018e+000
5.073117322418592e-001	9.526217e-003	-3.509762e+000	-3.472321e+000
7.921837312167779e-001	9.540938e-003	-3.509759e+000	-3.451129e+000
9.291504013568394e-001	9.548015e-003	-3.509757e+000	-3.440901e+000
1.028432961259369e+000	9.553145e-003	-3.509755e+000	-3.433465e+000
