time	V(a1)	V(a2)	V(a3)	V(a4)	V(v1)	V(v2)	V(vout)	V(vouts)	V(vouts2)
0.000000000000000e+000	9.500000e-003	1.197000e-002	9.500000e-003	7.030000e-003	-3.900000e+000	-2.941647e-012	-4.904238e+000	-4.746227e+000	-4.904365e+000
1.999999943436137e-009	9.500000e-003	1.197000e-002	9.500000e-003	7.030000e-003	-3.900000e+000	-1.661428e-010	-4.904238e+000	-4.746227e+000	-4.904365e+000
7.999999773744548e-009	9.500000e-003	1.197000e-002	9.500000e-003	7.030000e-003	-3.900000e+000	-6.557415e-010	-4.904238e+000	-4.746227e+000	-4.904365e+000
1.599999954748910e-008	9.500000e-003	1.197000e-002	9.500000e-003	7.030000e-003	-3.900000e+000	-1.308537e-009	-4.904238e+000	-4.746227e+000	-4.904365e+000
3.142857053971073e-007	9.500000e-003	1.197000e-002	9.500000e-003	7.030000e-003	-3.900000e+000	-2.564857e-008	-4.904238e+000	-4.746227e+000	-4.904365e+000
6.125714112467256e-007	9.500000e-003	1.197000e-002	9.500000e-003	7.030000e-003	-3.900000e+000	-4.998860e-008	-4.904238e+000	-4.746227e+000	-4.904365e+000
9.108571170963439e-007	9.500000e-003	1.197000e-002	9.500000e-003	7.030000e-003	-3.900000e+000	-7.432864e-008	-4.904238e+000	-4.746227e+000	-4.904365e+000
1.209142822945962e-006	9.500000e-003	1.197000e-002	9.500000e-003	7.029999e-003	-3.900000e+000	-9.866867e-008	-4.904238e+000	-4.746227e+000	-4.904365e+000
1.507428528795580e-006	9.500000e-003	1.197000e-002	9.500000e-003	7.029999e-003	-3.900000e+000	-1.230087e-007	-4.904238e+000	-4.746227e+000	-4.904365e+000
1.805714234645199e-006	9.500000e-003	1.197000e-002	9.500000e-003	7.029999e-003	-3.900000e+000	-1.473487e-007	-4.904238e+000	-4.746227e+000	-4.904365e+000
2.103999940494816e-006	9.500000e-003	1.197000e-002	9.500000e-003	7.030000e-003	-3.900000e+000	-1.716888e-007	-4.904238e+000	-4.746227e+000	-4.904365e+000
3.415542874830421e-002	9.492085e-003	1.196032e-002	9.488555e-003	7.020320e-003	-3.903977e+000	-2.789647e-003	-4.904238e+000	-4.747672e+000	-4.905858e+000
6.830875349666792e-002	9.484205e-003	1.195067e-002	9.477145e-003	7.010677e-003	-3.907945e+000	-5.584808e-003	-4.904238e+000	-4.749100e+000	-4.907333e+000
1.024620782450316e-001	9.476360e-003	1.194106e-002	9.465770e-003	7.001070e-003	-3.911905e+000	-8.385657e-003	-4.904238e+000	-4.750510e+000	-4.908791e+000
1.366154029933953e-001	9.468550e-003	1.193148e-002	9.454430e-003	6.991500e-003	-3.915857e+000	-1.119219e-002	-4.904238e+000	-4.751904e+000	-4.910231e+000
1.707687277417591e-001	9.460774e-003	1.192193e-002	9.443124e-003	6.981965e-003	-3.919800e+000	-1.400441e-002	-4.904238e+000	-4.753280e+000	-4.911653e+000
2.049220524901227e-001	9.453034e-003	1.191242e-002	9.431854e-003	6.972467e-003	-3.923735e+000	-1.682232e-002	-4.904238e+000	-4.754639e+000	-4.913057e+000
2.390753772384864e-001	9.445329e-003	1.190294e-002	9.420618e-003	6.963004e-003	-3.927662e+000	-1.964592e-002	-4.904238e+000	-4.755981e+000	-4.914444e+000
2.870102787399376e-001	9.434604e-003	1.188973e-002	9.404939e-003	6.949816e-003	-3.933146e+000	-2.361887e-002	-4.904238e+000	-4.757822e+000	-4.916346e+000
3.349451802413889e-001	9.424107e-003	1.187674e-002	9.389488e-003	6.936858e-003	-3.938545e+000	-2.760166e-002	-4.904238e+000	-4.759545e+000	-4.918127e+000
3.828800817428401e-001	9.413839e-003	1.186397e-002	9.374265e-003	6.924131e-003	-3.943858e+000	-3.159427e-002	-4.904238e+000	-4.761152e+000	-4.919787e+000
4.308149832442914e-001	9.403799e-003	1.185143e-002	9.359271e-003	6.911636e-003	-3.949085e+000	-3.559671e-002	-4.904238e+000	-4.762642e+000	-4.921326e+000
4.787498847457425e-001	9.393988e-003	1.183912e-002	9.344506e-003	6.899371e-003	-3.954225e+000	-3.960897e-002	-4.904238e+000	-4.764016e+000	-4.922745e+000
5.266847862471937e-001	9.384406e-003	1.182704e-002	9.329969e-003	6.887338e-003	-3.959280e+000	-4.363107e-002	-4.904238e+000	-4.765272e+000	-4.924043e+000
5.746196877486449e-001	9.375052e-003	1.181518e-002	9.315661e-003	6.875535e-003	-3.964249e+000	-4.766299e-002	-4.904238e+000	-4.766412e+000	-4.925220e+000
6.315423832816183e-001	9.364343e-003	1.180149e-002	9.299069e-003	6.861922e-003	-3.969993e+000	-5.246303e-002	-4.904238e+000	-4.767561e+000	-4.926410e+000
6.884650788145916e-001	9.354207e-003	1.178837e-002	9.283051e-003	6.848885e-003	-3.975498e+000	-5.727143e-002	-4.904239e+000	-4.768410e+000	-4.927288e+000
7.453877743475650e-001	9.344645e-003	1.177583e-002	9.267606e-003	6.836426e-003	-3.980766e+000	-6.208820e-002	-4.904239e+000	-4.768958e+000	-4.927854e+000
8.023104698805383e-001	9.335657e-003	1.176385e-002	9.252734e-003	6.824544e-003	-3.985795e+000	-6.691332e-002	-4.904239e+000	-4.769206e+000	-4.928109e+000
8.592331654135117e-001	9.327242e-003	1.175244e-002	9.238437e-003	6.813238e-003	-3.990586e+000	-7.174681e-002	-4.904240e+000	-4.769155e+000	-4.928052e+000
9.161558609464849e-001	9.319400e-003	1.174160e-002	9.224712e-003	6.802510e-003	-3.995138e+000	-7.658866e-002	-4.904240e+000	-4.768803e+000	-4.927683e+000
9.730785564794582e-001	9.312131e-003	1.173133e-002	9.211562e-003	6.792359e-003	-3.999453e+000	-8.143888e-002	-4.904240e+000	-4.768151e+000	-4.927003e+000
1.031798810818736e+000	9.305439e-003	1.172154e-002	9.198801e-003	6.782696e-003	-4.003554e+000	-8.644313e-002	-4.904241e+000	-4.767052e+000	-4.925867e+000
1.073741849632506e+000	9.301121e-003	1.171501e-002	9.190150e-003	6.776259e-003	-4.006282e+000	-9.001712e-002	-4.904241e+000	-4.766024e+000	-4.924817e+000
1.132462103971784e+000	9.295747e-003	1.170653e-002	9.178706e-003	6.767920e-003	-4.009816e+000	-9.502586e-002	-4.904242e+000	-4.764229e+000	-4.922962e+000
1.191182358311061e+000	9.291177e-003	1.169886e-002	9.168069e-003	6.760390e-003	-4.013000e+000	-1.000349e-001	-4.904242e+000	-4.762008e+000	-4.920667e+000
1.249902612650339e+000	9.287434e-003	1.169200e-002	9.158259e-003	6.753691e-003	-4.015824e+000	-1.050442e-001	-4.904243e+000	-4.759347e+000	-4.917918e+000
1.308622866989617e+000	9.284540e-003	1.168599e-002	9.149298e-003	6.747845e-003	-4.018273e+000	-1.100474e-001	-4.904243e+000	-4.756240e+000	-4.914707e+000
1.325400082515125e+000	9.283871e-003	1.168443e-002	9.146896e-003	6.746334e-003	-4.018905e+000	-1.114770e-001	-4.904243e+000	-4.755267e+000	-4.913687e+000
