time	V(va)
0.000000000000000e+000	4.799687e-006
1.010231299736921e-008	4.801716e-006
2.020462599473841e-008	4.846663e-006
3.030693899210762e-008	4.934529e-006
4.040925198947683e-008	5.065313e-006
5.051156498684604e-008	5.239017e-006
6.061387798421525e-008	5.455639e-006
7.071619098158443e-008	5.715180e-006
9.270057114466649e-008	6.523214e-006
1.171173471696648e-007	7.760870e-006
1.392215892430252e-007	9.209873e-006
1.711592475934120e-007	1.182045e-005
2.072091787951954e-007	1.543049e-005
2.575570374615654e-007	2.154965e-005
3.181073971048140e-007	3.037326e-005
4.015183743175125e-007	4.477229e-005
5.078692710310152e-007	6.617791e-005
6.567654660314960e-007	1.005090e-004
8.600684243378686e-007	1.530058e-004
1.162365980192099e-006	2.381310e-004
1.597899019656470e-006	3.678795e-004
2.220407616664008e-006	5.589269e-004
3.201846211588034e-006	8.635005e-004
4.655145371697006e-006	1.315603e-003
6.059201579569605e-006	1.752476e-003
7.885741533852463e-006	2.320798e-003
9.900217088624102e-006	2.947596e-003
1.260906293872256e-005	3.790444e-003
1.587196943050760e-005	4.805683e-003
2.029972610428034e-005	6.183355e-003
2.597957105754116e-005	7.950595e-003
3.395337984743597e-005	1.043155e-002
4.524138150517177e-005	1.394360e-002
5.971365443495977e-005	1.844619e-002
7.781845772414722e-005	2.407854e-002
1.014398626703625e-004	3.142619e-002
1.361832829812696e-004	4.223132e-002
1.718567856384062e-004	5.332248e-002
2.087185794796798e-004	6.477845e-002
2.490172687600018e-004	7.729579e-002
2.962553254755291e-004	9.195661e-002
3.685957884731927e-004	1.143821e-001
4.418379759731927e-004	1.370511e-001
5.150801634731927e-004	1.596738e-001
5.883223509731926e-004	1.822424e-001
6.615645384731926e-004	2.047492e-001
7.348067259731925e-004	2.271867e-001
8.812911009731925e-004	2.718230e-001
1.080091324187478e-003	3.321590e-001
1.278891547401764e-003	3.913056e-001
1.477691770616050e-003	4.492630e-001
1.676491993830336e-003	5.060311e-001
1.875292217044621e-003	5.616098e-001
2.074092440258907e-003	6.159993e-001
2.272892663473193e-003	6.691995e-001
2.597250922401765e-003	7.529199e-001
2.921609181330337e-003	8.304730e-001
3.245967440258909e-003	9.018588e-001
3.570325699187481e-003	9.670773e-001
3.894683958116054e-003	1.026128e+000
4.219042217044626e-003	1.079012e+000
4.543400475973198e-003	1.125729e+000
4.742200699187484e-003	1.150148e+000
4.941000922401771e-003	1.171584e+000
5.139801145616057e-003	1.190038e+000
5.338601368830343e-003	1.205510e+000
5.537401592044629e-003	1.217999e+000
5.736201815258916e-003	1.227507e+000
5.935002038473201e-003	1.234031e+000
5.987317886687487e-003	1.235214e+000
6.039633734901773e-003	1.236183e+000
6.091949583116059e-003	1.236938e+000
6.144265431330344e-003	1.237479e+000
6.196581279544630e-003	1.237806e+000
6.248897127758916e-003	1.237919e+000
6.301212975973202e-003	1.237819e+000
6.405844672401774e-003	1.236970e+000
6.510476368830346e-003	1.235271e+000
6.615108065258917e-003	1.232721e+000
6.719739761687489e-003	1.229321e+000
6.824371458116061e-003	1.225070e+000
6.929003154544632e-003	1.219968e+000
7.033634850973204e-003	1.214015e+000
7.284750922401774e-003	1.196035e+000
7.535866993830345e-003	1.173568e+000
7.786983065258915e-003	1.146616e+000
8.038099136687486e-003	1.115178e+000
8.289215208116055e-003	1.079253e+000
8.540331279544625e-003	1.038843e+000
8.791447350973196e-003	9.939471e-001
9.105342440258908e-003	9.315376e-001
9.419237529544619e-003	8.644625e-001
9.733132618830329e-003	7.927218e-001
1.004702770811604e-002	7.163154e-001
1.036092279740175e-002	6.352434e-001
1.067481788668746e-002	5.495059e-001
1.098871297597318e-002	4.591026e-001
